annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t,regroupement1,date_arrondie,besoin_marche_t,type_max,cyclone,nom,besoin_marche_kg,quotas_realise_kg,poids_enquete_t
2021,6,TOTAL LEGUMES,466481,156930.22999999998,75443917,480.74814521077303,119.79647161965087,126.2020630090752,2021-06-16,2021-07-15,421.06000000000006,0,Total legumes,2021-06-01,569,NA,NA,NA,569000,0,466.481
2022,1,TOTAL LEGUMES,310268.1,101593.91000000002,51558183,507.49285070335407,124.94521948807552,131.41652880193254,2022-01-16,2022-02-15,1279.7199999999998,751.9379999999999,Total legumes,2022-01-01,751,NA,NA,NA,751000,751937.9999999999,310.2681
2022,6,TOTAL LEGUMES,586980.1,131966.2,65686214,497.75028757363623,129.14280373404225,133.5015696149867,2022-06-16,2022-07-15,638.8799999999999,262.667,Total legumes,2022-06-01,751,NA,NA,NA,751000,262667,586.9801
2022,5,TOTAL LEGUMES,451661.2,117155.68,63523667,542.2158532987901,136.73604073817577,146.99621854227763,2022-05-16,2022-06-15,977.344,460.073,Total legumes,2022-05-01,751,NA,NA,NA,751000,460073,451.6612
2022,8,TOTAL LEGUMES,550932,165516.03,70913770,428.4404960655472,123.10405048927892,114.66584325185607,2022-08-16,2022-09-15,400.23,188.72499999999997,Total legumes,2022-08-01,751,NA,NA,NA,751000,188724.99999999997,550.932
2022,10,TOTAL LEGUMES,618494,197955.9,72085639,364.1499899725141,120.68746879146944,99.55497990158968,2022-10-16,2022-11-15,322.27,121.33299999999998,Total legumes,2022-10-01,751,NA,NA,NA,751000,121332.99999999999,618.494
2023,1,TOTAL LEGUMES,481412.6,115658.44,62633350,541.5372194195253,141.617866519701,149.61885071761222,2023-01-16,2023-02-15,1039.436,538.8120000000001,Total legumes,2023-01-01,751,NA,NA,NA,751000,538812.0000000001,481.4126
2012,1,TOTAL FRUITS (HORS VANILLE),441629,314155,66441463,211.4926167019465,85.17774689747606,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-01-01,460,NA,NA,NA,460000,0,441.629
2012,5,TOTAL FRUITS (HORS VANILLE),386839,195962.6001026,44535839,227.2670345090461,87.78422964502418,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-05-01,390,NA,NA,NA,390000,0,386.839
2012,2,TOTAL FRUITS (HORS VANILLE),354403,120970.3003329,27781257,229.65353416126388,84.50729324275991,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-02-01,420,"Cyclone tropical
intense","Jasmine
(Cyclone
tropical
intense)",Jasmine,420000,0,354.403
2013,11,TOTAL FRUITS (HORS VANILLE),473590,252810,64987133,257.0591867410308,100.56804820742066,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-11-01,450,NA,NA,NA,450000,0,473.59
2013,7,TOTAL FRUITS (HORS VANILLE),295323,200743.22014220004,47760087.5234,237.91631662363636,100.80157700850155,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-07-01,350,NA,NA,NA,350000,0,295.323
2013,1,TOTAL FRUITS (HORS VANILLE),414152,276024,58753065,212.85491479001823,87.60343315386477,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-01-01,460,"Cyclone tropical
intense","Freda
(Cyclone
tropical
intense)",Freda,460000,0,414.152
2014,3,TOTAL FRUITS (HORS VANILLE),203204,132037,33767726,255.744420124662,88.61288022950481,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-03-01,390,NA,NA,NA,390000,0,203.204
2014,12,TOTAL FRUITS (HORS VANILLE),627680,261662,80284161,306.8239217005144,97.9389658984776,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-12-01,445,NA,NA,NA,445000,0,627.68
2014,8,TOTAL FRUITS (HORS VANILLE),269402,156790,45805006,292.14239428534984,104.31204221184672,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-08-01,350,NA,NA,NA,350000,0,269.402
2015,5,TOTAL FRUITS (HORS VANILLE),276398,147887,36824723,249.0058152508334,96.65832408609846,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-05-01,350,NA,NA,NA,350000,0,276.398
2015,3,TOTAL FRUITS (HORS VANILLE),278830,172450,42637663,247.2465236300377,91.1590974799998,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-03-01,390,"Cyclone tropical
très intense","Marcia
(Cyclone
tropical
très
intense)",Marcia,390000,0,278.83
2015,3,TOTAL FRUITS (HORS VANILLE),278830,172450,42637663,247.2465236300377,91.1590974799998,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-03-01,390,"Cyclone tropical
très intense","Pam
(Cyclone
tropical
très
intense)",Pam,390000,0,278.83
2015,10,TOTAL FRUITS (HORS VANILLE),384114,184828,49915263,270.0633183283918,108.76415580664714,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-10-01,350,NA,NA,NA,350000,0,384.114
2016,8,TOTAL FRUITS (HORS VANILLE),211657,107122,31191446,291.1768450925113,123.25800784792636,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-08-01,350,NA,NA,NA,350000,0,211.657
2016,7,TOTAL FRUITS (HORS VANILLE),187175,116132,32858297,282.9392157200427,122.88134849134424,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-07-01,350,NA,NA,NA,350000,0,187.175
2016,12,TOTAL FRUITS (HORS VANILLE),560470,235105,65460570,278.4312115863125,108.91481954928,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-12-01,460,NA,NA,NA,460000,0,560.47
2016,11,TOTAL FRUITS (HORS VANILLE),509989,89530,25528523,285.1393164302468,105.08796048640583,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-11-01,420,NA,NA,NA,420000,0,509.989
2016,6,TOTAL FRUITS (HORS VANILLE),184817,104222,26717790,256.35460843200093,105.06536092501092,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-06-01,350,NA,NA,NA,350000,0,184.817
2016,5,TOTAL FRUITS (HORS VANILLE),286561,86082,21551337,250.3582282010176,95.4304145836408,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-05-01,390,NA,NA,NA,390000,0,286.561
2016,2,TOTAL FRUITS (HORS VANILLE),338224,167097,43797109,262.10589657504323,92.81639864896104,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-02-01,345,NA,NA,NA,345000,0,338.224
2017,12,TOTAL FRUITS (HORS VANILLE),623192,266256,81594269,306.45044243134424,97.9389658984776,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-12-01,450,NA,NA,NA,450000,0,623.192
2017,6,TOTAL FRUITS (HORS VANILLE),161425.5,139401,38367623,275.2320499852942,103.8600509839482,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-06-01,350,NA,NA,NA,350000,0,161.4255
2017,7,TOTAL FRUITS (HORS VANILLE),143805.6,104855,28768803,274.3674884364122,106.41380142157485,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-07-01,350,NA,NA,NA,350000,0,143.8056
2017,2,TOTAL FRUITS (HORS VANILLE),266581.7,133336,34437449,258.27570198596027,101.75075858708844,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-02-01,345,NA,NA,NA,345000,0,266.5817
2017,10,TOTAL FRUITS (HORS VANILLE),285710,94852,24932865,262.8607198583056,109.54007408120628,NA,NA,NA,NA,0,Total fruits (hors vanille),2017-10-01,380,NA,NA,NA,380000,0,285.71
2018,8,TOTAL FRUITS (HORS VANILLE),242447.9,15934,4543955,285.17352830425506,121.63837261462332,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-08-01,350,NA,NA,NA,350000,0,242.4479
2018,9,TOTAL FRUITS (HORS VANILLE),264990.5,43215.3,12516737,289.63670274185296,109.4044767128367,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-09-01,350,NA,NA,NA,350000,0,264.9905
2018,7,TOTAL FRUITS (HORS VANILLE),265135,61269.6,17733765,289.43823690704687,131.6951774353654,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-07-01,350,NA,NA,NA,350000,0,265.135
2018,1,TOTAL FRUITS (HORS VANILLE),290143.5,127367,33871111,265.9331773536316,105.148225983459,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-01-01,455,NA,NA,NA,455000,0,290.1435
2018,4,TOTAL FRUITS (HORS VANILLE),214321,132564.5,37190813,280.5488120877007,109.45720902275822,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-04-01,350,NA,NA,NA,350000,0,214.321
2018,6,TOTAL FRUITS (HORS VANILLE),269500.3,124409.7,37793883,303.78566140743044,112.05615858317468,NA,NA,NA,NA,0,Total fruits (hors vanille),2018-06-01,350,NA,NA,NA,350000,0,269.5003
2019,4,TOTAL FRUITS (HORS VANILLE),276599,118525.7,40291903,339.9423331817488,103.51352437589269,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-04-01,390,NA,NA,NA,390000,0,276.599
2019,10,TOTAL FRUITS (HORS VANILLE),361186,48996,16101590,328.63070454730996,111.63430010380274,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-10-01,345,NA,NA,NA,345000,0,361.186
2019,12,TOTAL FRUITS (HORS VANILLE),766975,97728.1,29047870.5,297.2315076216564,100.16125610231198,NA,NA,NA,NA,0,Total fruits (hors vanille),2019-12-01,405,NA,NA,NA,405000,0,766.975
2020,6,TOTAL FRUITS (HORS VANILLE),311735,60594.7,19590602,323.30553662283995,90.19037285410144,110.82975523752224,NA,NA,NA,0,Total fruits (hors vanille),2020-06-01,350,NA,NA,NA,350000,0,311.735
2020,5,TOTAL FRUITS (HORS VANILLE),362922,74486.9,23156899.3,310.88552886480716,90.09564937569294,103.50673019207056,NA,NA,NA,0,Total fruits (hors vanille),2020-05-01,390,NA,NA,NA,390000,0,362.922
2020,9,TOTAL FRUITS (HORS VANILLE),428267,57778.100000000006,19705666,341.0577017935861,96.21506991380636,115.16870618601853,NA,NA,NA,0,Total fruits (hors vanille),2020-09-01,310,NA,NA,NA,310000,0,428.267
2021,3,TOTAL FRUITS (HORS VANILLE),263353,119639.3,35135486,293.67846518660673,90.3315896039348,93.32072813914746,2021-03-16,2021-04-15,204.12,0,Total fruits (hors vanille),2021-03-01,350,"Cyclone tropical
très intense","Niran
(Cyclone
tropical
très
intense)",Niran,350000,0,263.353
2022,10,TOTAL FRUITS (HORS VANILLE),118486,59220.600000000006,22625209,382.04964150988,105.48441955420058,121.68012105600457,2022-10-16,2022-11-15,507.65,160.388,Total fruits (hors vanille),2022-10-01,469,NA,NA,NA,469000,160388,118.486
2022,1,TOTAL FRUITS (HORS VANILLE),206517,81878.75,31675131,386.8541104987558,99.2490297063308,124.6431657513112,2022-01-16,2022-02-15,364.4,128.85099999999997,Total fruits (hors vanille),2022-01-01,469,NA,NA,NA,469000,128850.99999999997,206.517
2022,2,TOTAL FRUITS (HORS VANILLE),190934,60449.350000000006,23307196,385.5657008718869,104.56259459797404,123.4870176204836,2022-02-16,2022-03-15,441.9,173.525,Total fruits (hors vanille),2022-02-01,469,"Cyclone tropical
intense","Dovi
(Cyclone
tropical
intense)",Dovi,469000,173525,190.934
2022,11,TOTAL FRUITS (HORS VANILLE),332435,84343.6,31212522,370.063905263707,104.90316913938057,114.896235821809,2022-11-16,2022-12-15,505.4000000000001,163.34099999999998,Total fruits (hors vanille),2022-11-01,469,NA,NA,NA,469000,163340.99999999997,332.435
2023,3,TOTAL FRUITS (HORS VANILLE),247988,104622.5,36761578,351.3735381968506,101.218045636527,112.68787692943232,2023-03-16,2023-04-15,271.02,73.796,Total fruits (hors vanille),2023-03-01,469,NA,NA,NA,469000,73796,247.988
2023,6,TOTAL FRUITS (HORS VANILLE),195517,64261.45,20644849,321.26335462396196,99.21649085028542,105.22375808949803,2023-06-16,2023-07-15,211.61,107.886,Total fruits (hors vanille),2023-06-01,469,NA,NA,NA,469000,107886,195.517
2023,1,TOTAL FRUITS (HORS VANILLE),230952,106547.60000000002,37590820,352.8077591611636,100.60401560765384,114.167808123987,2023-01-16,2023-02-15,528.9200000000001,154.48000000000002,Total fruits (hors vanille),2023-01-01,469,NA,NA,NA,469000,154480.00000000003,230.952
2023,7,TOTAL FRUITS (HORS VANILLE),0,50883.8,17155566,337.15182435274096,NA,NA,NA,NA,NA,0,Total fruits (hors vanille),2023-07-01,469,NA,NA,NA,469000,0,0
2012,5,TOTAL LEGUMES,478444.4,187734.39421962,56826095.5,302.69411066744823,94.5267259591474,NA,NA,NA,NA,0,Total legumes,2012-05-01,459,NA,NA,NA,459000,0,478.44440000000003
2012,1,TOTAL LEGUMES,343850,296417,89563638,302.15418818758707,98.80399125314584,NA,NA,NA,NA,0,Total legumes,2012-01-01,724,NA,NA,NA,724000,0,343.85
2012,8,TOTAL LEGUMES,760920.5,377513.6325242879,106359231.5,281.73613437166995,88.1903466488601,NA,NA,NA,NA,0,Total legumes,2012-08-01,737,NA,NA,NA,737000,0,760.9205
2012,6,TOTAL LEGUMES,530489,315026.6214444847,97550763,309.65879185924865,89.77234888088692,NA,NA,NA,NA,0,Total legumes,2012-06-01,569,NA,NA,NA,569000,0,530.489
2012,7,TOTAL LEGUMES,695159.7000000001,351144.49865231314,111428384.900146,317.3291489053832,89.64679314818638,NA,NA,NA,NA,0,Total legumes,2012-07-01,737,NA,NA,NA,737000,0,695.1597
2012,9,TOTAL LEGUMES,850450,517984.91613945394,116710464,225.31633714325912,84.39856352130376,NA,NA,NA,NA,0,Total legumes,2012-09-01,737,NA,NA,NA,737000,0,850.45
2012,3,TOTAL LEGUMES,382093.4,228927.41979300277,64528165,281.8717175004491,95.30517150189075,NA,NA,NA,NA,0,Total legumes,2012-03-01,459,NA,NA,NA,459000,0,382.09340000000003
2013,1,TOTAL LEGUMES,468893.1999999999,399847,117647759,294.2319412175157,97.15502596367874,NA,NA,NA,NA,0,Total legumes,2013-01-01,732,"Cyclone tropical
intense","Freda
(Cyclone
tropical
intense)",Freda,732000,0,468.8931999999999
2013,6,TOTAL LEGUMES,566462,284778.60352511,93912137.175176,329.7724478338325,100.20184507721189,NA,NA,NA,NA,0,Total legumes,2013-06-01,587,NA,NA,NA,587000,0,566.462
2013,11,TOTAL LEGUMES,837099.4,471199,114163916,242.28386732569467,84.09722976282247,NA,NA,NA,NA,0,Total legumes,2013-11-01,732,NA,NA,NA,732000,0,837.0994000000001
2013,5,TOTAL LEGUMES,578449.2,219305.7922278991,74092469.35159999,337.8500339589949,99.86702979001043,NA,NA,NA,NA,0,Total legumes,2013-05-01,724,NA,NA,NA,724000,0,578.4491999999999
2013,8,TOTAL LEGUMES,607738.5,344312.6254548612,124843827.859888,362.58858557672846,97.9334715064221,NA,NA,NA,NA,0,Total legumes,2013-08-01,737,NA,NA,NA,737000,0,607.7385
2014,5,TOTAL LEGUMES,600101.2,246471,73504320,298.2270530812956,92.5513157646589,NA,NA,NA,NA,0,Total legumes,2014-05-01,569,NA,NA,NA,569000,0,600.1012
2014,1,TOTAL LEGUMES,500010.8,325257,108405883,333.2930052235617,90.80190588903136,NA,NA,NA,NA,0,Total legumes,2014-01-01,724,NA,NA,NA,724000,0,500.01079999999996
2015,5,TOTAL LEGUMES,527445.6,189821,67690343,356.6009187603058,91.09486926533262,NA,NA,NA,NA,0,Total legumes,2015-05-01,577,NA,NA,NA,577000,0,527.4456
2015,8,TOTAL LEGUMES,1021426.15,358040,95312090,266.20514467657244,85.46997244034839,NA,NA,NA,NA,0,Total legumes,2015-08-01,737,NA,NA,NA,737000,0,1021.42615
2015,9,TOTAL LEGUMES,1019238,483204.1,115491903,239.01267187095476,85.58715779086889,NA,NA,NA,NA,0,Total legumes,2015-09-01,737,NA,NA,NA,737000,0,1019.238
2015,7,TOTAL LEGUMES,806016.1,270535,78988007,291.9696416360175,86.91804855749461,NA,NA,NA,NA,0,Total legumes,2015-07-01,587,NA,NA,NA,587000,0,806.0160999999999
2015,2,TOTAL LEGUMES,329845.25,148537,58603898,394.5407406908717,101.0891055882957,NA,NA,NA,NA,0,Total legumes,2015-02-01,574,NA,NA,NA,574000,0,329.84525
2016,6,TOTAL LEGUMES,676781.1000000001,203227,65334541,321.4855358785988,90.92746162173192,NA,NA,NA,NA,0,Total legumes,2016-06-01,582,NA,NA,NA,582000,0,676.7811
2016,5,TOTAL LEGUMES,451045.65,117738,39950277,339.3150639555623,94.12494761450569,NA,NA,NA,NA,0,Total legumes,2016-05-01,569,NA,NA,NA,569000,0,451.04565
2016,11,TOTAL LEGUMES,940311,230474,62688681,271.9989282955995,87.01849314365505,NA,NA,NA,NA,0,Total legumes,2016-11-01,732,NA,NA,NA,732000,0,940.311
2017,4,TOTAL LEGUMES,336755.80000000005,112151.25,48465713,432.1459903478561,101.47414316857736,NA,NA,NA,NA,0,Total legumes,2017-04-01,459,NA,NA,NA,459000,0,336.7558
2017,1,TOTAL LEGUMES,534079.5500000002,304060,101826443,334.8893080313096,99.66614061768956,NA,NA,NA,NA,0,Total legumes,2017-01-01,724,NA,NA,NA,724000,0,534.0795500000002
2017,6,TOTAL LEGUMES,540004.4,221217,85163646,384.9778543240347,104.65488839699108,NA,NA,NA,NA,0,Total legumes,2017-06-01,582,NA,NA,NA,582000,0,540.0044
2018,12,TOTAL LEGUMES,843802.2000000001,134476.15000000002,47033638,349.75449549975957,94.64391130966791,NA,NA,NA,NA,0,Total legumes,2018-12-01,724,NA,NA,NA,724000,0,843.8022000000001
2018,5,TOTAL LEGUMES,575359.7,197388.94999999995,77715001,393.71505345157374,103.04777501842416,NA,NA,NA,NA,0,Total legumes,2018-05-01,587,NA,NA,NA,587000,0,575.3597
2018,9,TOTAL LEGUMES,1280188.8,192757.54999999993,53738192,278.7864444220214,86.55812212375307,NA,NA,NA,NA,0,Total legumes,2018-09-01,737,NA,NA,NA,737000,0,1280.1888000000001
2018,7,TOTAL LEGUMES,907600.4,145113.3,46510305,320.51028403323477,92.59316767555907,NA,NA,NA,NA,0,Total legumes,2018-07-01,582,NA,NA,NA,582000,0,907.6004
2018,11,TOTAL LEGUMES,964890.4,180691.25,51854859,286.98046529646564,87.83042021511855,NA,NA,NA,NA,0,Total legumes,2018-11-01,729,NA,NA,NA,729000,0,964.8904
2018,3,TOTAL LEGUMES,425359.4,160411.75,76605957,477.5582649026646,110.212822164535,NA,NA,NA,NA,0,Total legumes,2018-03-01,737,"Cyclone tropical
intense","Hola
(Cyclone
tropical
intense)",Hola,737000,0,425.35940000000005
2018,10,TOTAL LEGUMES,1264185.6,243546.75,55869137,229.39799853621537,84.32323008168343,NA,NA,NA,NA,0,Total legumes,2018-10-01,737,NA,NA,NA,737000,0,1264.1856
2018,4,TOTAL LEGUMES,494295.9,171947.44999999998,79960330,465.0277163168166,111.84504668964206,NA,NA,NA,NA,0,Total legumes,2018-04-01,579,NA,NA,NA,579000,0,494.2959
2019,2,TOTAL LEGUMES,384601.9,134819.3,44654903,331.2204039035954,94.2923552581064,NA,NA,NA,NA,0,Total legumes,2019-02-01,579,NA,NA,NA,579000,0,384.6019
2020,11,TOTAL LEGUMES,910839,239361.14000000004,77886357,325.392655633241,94.13956047919444,87.2894010920788,NA,NA,NA,0,Total legumes,2020-11-01,724,NA,NA,NA,724000,0,910.839
2020,1,TOTAL LEGUMES,763736.5,208161,72124804,346.48567214800084,98.83345502326694,99.4167006138312,NA,NA,NA,0,Total legumes,2020-01-01,724,NA,NA,NA,724000,0,763.7365
2020,12,TOTAL LEGUMES,774353,266373.11,96305927,361.5452287958045,108.02206384325514,99.11932853454412,2020-12-16,2021-01-15,343.384,80.31700000000001,Total legumes,2020-12-01,724,"Cyclone tropical
très intense","Yasa
(Cyclone
tropical
très
intense)",Yasa,724000,80317,774.353
2020,9,TOTAL LEGUMES,1143890.9,304968.68,88264350,289.42103169413986,89.1970134291247,76.78856924334396,NA,NA,NA,0,Total legumes,2020-09-01,737,NA,NA,NA,737000,0,1143.8908999999999
2020,4,TOTAL LEGUMES,483616,157866.65,63700406,403.507681958159,99.67588523089712,111.05762209010936,NA,NA,NA,0,Total legumes,2020-04-01,569,"Cyclone tropical
très intense","Harold
(Cyclone
tropical
très
intense)",Harold,569000,0,483.616
2020,2,TOTAL LEGUMES,424659,59983.850000000006,23648747,394.251902803838,97.95519779623156,115.0444686748305,NA,NA,NA,0,Total legumes,2020-02-01,569,NA,NA,NA,569000,0,424.659
2020,6,TOTAL LEGUMES,756125.5,88572.70000000003,35029796,395.49201955004185,100.83403272835145,112.07010392207788,NA,NA,NA,0,Total legumes,2020-06-01,582,NA,NA,NA,582000,0,756.1255
2020,3,TOTAL LEGUMES,435252,125157.6,53938494,430.9645918426049,103.7076921207433,120.50736956038348,NA,NA,NA,0,Total legumes,2020-03-01,569,NA,NA,NA,569000,0,435.252
2021,10,TOTAL LEGUMES,979808.2,347528.3,92631498,266.54375485392126,83.10870334285713,75.01594574724213,2021-10-16,2021-11-15,153.24,0,Total legumes,2021-10-01,737,NA,NA,NA,737000,0,979.8081999999999
2021,8,TOTAL LEGUMES,913498.5,330275.17,105561263,319.616103747672,102.09740643508128,89.59413575565277,2021-08-16,2021-09-15,147.56000000000006,0,Total legumes,2021-08-01,737,NA,NA,NA,737000,0,913.4985
2021,9,TOTAL LEGUMES,1007242,328391.01999999996,94040522,286.36752003754555,91.50398502335835,76.64321232223142,2021-09-16,2021-10-15,120.79999999999998,0,Total legumes,2021-09-01,737,NA,NA,NA,737000,0,1007.242
2021,2,TOTAL LEGUMES,239374.1,86589.28000000001,50546154,583.7460942047329,128.31626684294167,146.20465599795284,2021-02-16,2021-03-15,1089.5599999999995,0,Total legumes,2021-02-01,574,NA,NA,NA,574000,0,239.3741
2021,7,TOTAL LEGUMES,752065,258512.83,101397939,392.2356155398554,111.30026902271136,104.3949924078991,2021-07-16,2021-08-15,305.49000000000007,0,Total legumes,2021-07-01,587,NA,NA,NA,587000,0,752.065
2021,1,TOTAL LEGUMES,385555.5,127398,58533286,459.4521578046751,111.82830147650036,119.08526424787078,2021-01-16,2021-02-15,885.7810000000001,637.8959999999998,Total legumes,2021-01-01,724,NA,NA,NA,724000,637895.9999999999,385.5555
2021,11,TOTAL LEGUMES,803566.5,383608.69,123249768,321.2903440743222,96.93799991900362,88.34764842408698,2021-11-16,2021-12-15,265.44,3.42,Total legumes,2021-11-01,732,NA,NA,NA,732000,3420,803.5665
2021,3,TOTAL LEGUMES,291026.4,134323.6,77028345,573.4535479990113,131.30841252542515,151.53348188394597,2021-03-16,2021-04-15,1233.42,0,Total legumes,2021-03-01,459,"Cyclone tropical
très intense","Niran
(Cyclone
tropical
très
intense)",Niran,459000,0,291.0264
2022,12,TOTAL LEGUMES,516121.3,132458.19,61910778,467.3986410353334,129.9176728450207,121.38579491640029,2022-12-16,2023-01-15,710.475,416.516,Total legumes,2022-12-01,751,NA,NA,NA,751000,416516,516.1213
2022,11,TOTAL LEGUMES,680657,188186.00000000003,74621877,396.5325635275737,114.1096882746976,105.54413672027208,2022-11-16,2022-12-15,560.0999999999999,252.198,Total legumes,2022-11-01,751,NA,NA,NA,751000,252198,680.657
2022,9,TOTAL LEGUMES,383316,187022.15,83816880,448.1655247787495,128.83162853017382,131.5313255381288,2022-09-16,2022-10-15,516.6600000000001,248.371,Total legumes,2022-09-01,751,NA,NA,NA,751000,248371,383.316
2023,3,TOTAL LEGUMES,481054.4,130921.09999999998,63958921,488.5302751046242,136.29820888265604,128.19184814056982,2023-03-16,2023-04-15,902.2000000000002,343.218,Total legumes,2023-03-01,751,NA,NA,NA,751000,343218,481.05440000000004
2023,4,TOTAL LEGUMES,490524.1,112596.16,53606841,476.09830566157854,133.2204603691597,128.39590615656695,2023-04-16,2023-05-15,878.675,247.07599999999996,Total legumes,2023-04-01,751,NA,NA,NA,751000,247075.99999999997,490.5241
2023,7,TOTAL LEGUMES,0,157300.91999999998,68282358,434.0874675113153,NA,NA,NA,NA,NA,0,Total legumes,2023-07-01,751,NA,NA,NA,751000,0,0
2012,4,TOTAL FRUITS (HORS VANILLE),318298,175644.169922,41475049,236.1310883157592,87.90476063913046,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-04-01,390,NA,NA,NA,390000,0,318.298
2012,7,TOTAL FRUITS (HORS VANILLE),324350.6,229452.6186504,53896558.1875,234.891885324779,93.83337891173272,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-07-01,350,NA,NA,NA,350000,0,324.3506
2012,9,TOTAL FRUITS (HORS VANILLE),385033,153545.219359,39906896.0938,259.9032145735176,96.26659835525308,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-09-01,350,NA,NA,NA,350000,0,385.033
2012,12,TOTAL FRUITS (HORS VANILLE),642573.5,216799.5706043,53316470.5,245.92516650926672,87.46783578549523,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-12-01,415,NA,NA,NA,415000,0,642.5735
2012,8,TOTAL FRUITS (HORS VANILLE),368025,161883.340094,38700685.625,239.06527751730263,91.55082321084518,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-08-01,350,NA,NA,NA,350000,0,368.025
2012,3,TOTAL FRUITS (HORS VANILLE),325505,195465.1196552,43945541,224.8254884427453,82.22473754187239,NA,NA,NA,NA,0,Total fruits (hors vanille),2012-03-01,390,NA,NA,NA,390000,0,325.505
2013,6,TOTAL FRUITS (HORS VANILLE),395251,192955.69930910497,47420465.447298,245.75830419672076,94.8729587358993,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-06-01,399,NA,NA,NA,399000,0,395.251
2013,4,TOTAL FRUITS (HORS VANILLE),348000,188512.797525564,47064914.90039,249.6642961017413,89.81819017056752,NA,NA,NA,NA,0,Total fruits (hors vanille),2013-04-01,350,NA,NA,NA,350000,0,348
2014,7,TOTAL FRUITS (HORS VANILLE),378591,153282,44762685,292.0283203507261,91.37002671968578,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-07-01,390,NA,NA,NA,390000,0,378.591
2014,6,TOTAL FRUITS (HORS VANILLE),383121,187702,51246249,273.01919532024164,97.42670917352596,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-06-01,350,NA,NA,NA,350000,0,383.121
2014,9,TOTAL FRUITS (HORS VANILLE),294869,148007,42795761,289.1468714317566,103.34779425899654,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-09-01,390,NA,NA,NA,390000,0,294.869
2014,10,TOTAL FRUITS (HORS VANILLE),359352.5,182431,51356897,281.5140902587828,111.08437744319288,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-10-01,390,NA,NA,NA,390000,0,359.3525
2014,2,TOTAL FRUITS (HORS VANILLE),263452,134283,32660718,243.2230289761176,90.91803549178724,NA,NA,NA,NA,0,Total fruits (hors vanille),2014-02-01,390,NA,NA,NA,390000,0,263.452
2015,2,TOTAL FRUITS (HORS VANILLE),268936,123106,30791605,250.1226991373288,93.89364440878585,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-02-01,350,NA,NA,NA,350000,0,268.936
2015,6,TOTAL FRUITS (HORS VANILLE),321950,170919,44996057,263.2595381437991,98.20262744808508,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-06-01,350,NA,NA,NA,350000,0,321.95
2015,11,TOTAL FRUITS (HORS VANILLE),535557,156500,44636572,285.2177124600639,111.11451019171945,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-11-01,420,NA,NA,NA,420000,0,535.557
2015,8,TOTAL FRUITS (HORS VANILLE),263113,136462,36202852,265.2962143307294,117.20885858121784,NA,NA,NA,NA,0,Total fruits (hors vanille),2015-08-01,350,NA,NA,NA,350000,0,263.113
2016,4,TOTAL FRUITS (HORS VANILLE),293720.3,192385,48478630,251.9875769940484,95.33248315092946,NA,NA,NA,NA,0,Total fruits (hors vanille),2016-04-01,350,NA,NA,NA,350000,0,293.7203
